id,title,description,category,price,rating
130,Calligraphy Pen Set Lite - Gray,"Dip pens, ink, and practice sheets for hand lettering beginners. Best seller in category.",Books & Stationery,18.1,4.1
131,Argan Oil Hair Treatment,Nourishing leave-in oil to repair dry damaged hair and reduce frizz.,Beauty & Personal Care,82.6,4.4
132,Remote Control Car Off-Road Lite,Rechargeable RC truck with shock absorbers for indoor and outdoor play.,Toys & Games,29.65,4.1
133,Resistance Bands Set Deluxe - Gray,Five latex bands with handles and door anchor for full-body home workouts. Free shipping eligible.,Sports & Outdoors,63.77,4.1
134,Camping Tent 4-Person Ultra,"Waterproof dome tent with easy setup, ventilation windows, and rainfly for family trips. Best seller in category.",Sports & Outdoors,40.99,4.3
135,Remote Control Car Off-Road Classic,Rechargeable RC truck with shock absorbers for indoor and outdoor play.,Toys & Games,13.68,4.4
136,Hardcover Notebook A5 Ruled Lite,200-page journal with thick paper suitable for fountain pens and bullet journaling.,Books & Stationery,32.55,4.3
137,Building Blocks STEM Kit 500pc Essential,Creative construction set encouraging engineering skills for kids ages 6+. Limited time offer.,Toys & Games,31.94,4.2
138,Coconut Body Lotion Classic,Rich moisturizing lotion with natural coconut extract for soft smooth skin.,Beauty & Personal Care,78.88,3.8
139,Running Shorts Quick Dry Lite,Lightweight athletic shorts with moisture-wicking fabric and inner liner. Highly rated by customers.,Clothing,22.3,4.2
140,Ceramic Nonstick Frying Pan Lite - White,Induction-compatible skillet with PFOA-free coating for healthy cooking. Eco-friendly packaging.,Home & Kitchen,100.55,5.0
141,Massage Gun Percussion Deluxe - Black,Cordless deep tissue massager with adjustable speeds for muscle soreness relief.,Health & Wellness,89.84,3.8
142,Makeup Brush Set 12-Piece Plus,"Synthetic bristle brushes for foundation, blush, and eye makeup application. Highly rated by customers.",Beauty & Personal Care,38.26,4.3
143,Resistance Bands Set - Gray,Five latex bands with handles and door anchor for full-body home workouts.,Sports & Outdoors,58.53,4.8
144,Denim Jacket Classic Fit Classic,"Timeless denim outerwear with button closure, versatile casual layer.",Clothing,24.31,4.4
145,Folding Camping Chair Classic,"Portable outdoor chair with cup holder, lightweight for beach and tailgating.",Sports & Outdoors,57.56,4.7
146,Smart Home Security Camera Deluxe - Navy,"1080p indoor camera with night vision, motion alerts, and two-way audio via mobile app.",Electronics,812.95,3.6
147,Tablet Stand Adjustable Ultra,"Aluminum foldable stand for tablets and e-readers, ideal for desk and kitchen use.",Electronics,723.99,4.3
148,Smart Home Security Camera Plus,"1080p indoor camera with night vision, motion alerts, and two-way audio via mobile app.",Electronics,582.96,4.1
149,Sleeping Bag 3-Season Pro,Compact mummy bag rated to 20°F for backpacking and car camping.,Sports & Outdoors,71.0,4.1
150,Meditation and Mindfulness Workbook Lite - Navy,"Guided exercises for stress relief, breathing techniques, and daily calm.",Books & Stationery,26.05,4.9
151,Classic Novel Collection Box Set Deluxe - Navy,Timeless literature anthology with embossed hardcover bindings.,Books & Stationery,24.05,4.1
152,Fitness Tracker Watch - Red,"Heart rate, step count, sleep monitoring, and smartphone notifications on wrist.",Health & Wellness,131.6,4.3
153,Bamboo Cutting Board Set Lite,Eco-friendly boards in three sizes with juice grooves for meal prep.,Home & Kitchen,64.26,3.3
154,Camping Tent 4-Person Plus - Black,"Waterproof dome tent with easy setup, ventilation windows, and rainfly for family trips.",Sports & Outdoors,178.0,5.0
155,Calligraphy Pen Set Classic,"Dip pens, ink, and practice sheets for hand lettering beginners.",Books & Stationery,20.33,4.6
156,Folding Camping Chair Classic,"Portable outdoor chair with cup holder, lightweight for beach and tailgating.",Sports & Outdoors,144.12,4.2
157,Hiking Backpack 40L Lite,Ergonomic trekking pack with hydration sleeve and rain cover for multi-day hikes.,Sports & Outdoors,279.9,4.0
158,Merino Wool Hiking Socks Deluxe,Cushioned wool socks that regulate temperature on long trail hikes.,Clothing,236.88,4.5
159,Trail Running Shoes Deluxe,Lightweight grippy soles with cushioned midsole for rocky and muddy trails.,Sports & Outdoors,202.27,4.8
160,Sleeping Bag 3-Season Ultra - Gray,Compact mummy bag rated to 20°F for backpacking and car camping.,Sports & Outdoors,222.93,5.0
161,Classic Novel Collection Box Set Pro - Navy,Timeless literature anthology with embossed hardcover bindings. Eco-friendly packaging.,Books & Stationery,31.45,4.6
162,Adjustable Dumbbell Set,Space-saving adjustable weights from 5 to 52.5 lbs for home strength training. Eco-friendly packaging.,Sports & Outdoors,221.9,4.2
163,Blue Light Blocking Glasses - Red,Computer glasses reducing eye strain during long screen sessions. Eco-friendly packaging.,Health & Wellness,65.89,4.7
164,Wireless Mouse Ergonomic Plus,Silent click wireless mouse with adjustable DPI and long-range Bluetooth connectivity. Limited time offer.,Electronics,193.93,4.6
165,Robot Vacuum Cleaner Ultra - Navy,"Smart mapping vacuum with app control, ideal for pet hair on hardwood and carpet. Best seller in category.",Home & Kitchen,302.9,4.2
166,Retinol Night Cream Ultra,Anti-aging night moisturizer to smooth fine lines and even skin tone. Highly rated by customers.,Beauty & Personal Care,57.76,4.6
167,Electric Toothbrush Rechargeable Ultra - White,Sonic brush with multiple modes and two-minute timer for dental health. Best seller in category.,Beauty & Personal Care,66.78,4.6
168,Foam Roller Muscle Recovery,High-density roller for myofascial release after workouts and physical therapy.,Health & Wellness,187.02,4.2
169,Hydrating Moisturizer SPF 30 Pro - Navy,Daily facial lotion with broad spectrum sun protection and hyaluronic acid. Free shipping eligible.,Beauty & Personal Care,85.67,3.9
170,Outdoor Bubble Machine Classic,Battery-powered bubble blower for birthday parties and backyard fun.,Toys & Games,50.96,4.5
171,Makeup Brush Set 12-Piece Classic,"Synthetic bristle brushes for foundation, blush, and eye makeup application.",Beauty & Personal Care,72.4,3.7
172,Foam Roller Muscle Recovery Plus - Navy,High-density roller for myofascial release after workouts and physical therapy. Best seller in category.,Health & Wellness,59.38,3.6
173,Running Shorts Quick Dry - Gray,Lightweight athletic shorts with moisture-wicking fabric and inner liner. Highly rated by customers.,Clothing,34.53,4.4
174,Trail Running Shoes,Lightweight grippy soles with cushioned midsole for rocky and muddy trails.,Sports & Outdoors,234.12,4.5
175,Wool Blend Sweater Classic - Red,"Classic knit pullover with ribbed cuffs, warm and stylish for fall and winter. Best seller in category.",Clothing,122.44,4.4
176,Cycling Helmet Adult Deluxe,Ventilated road bike helmet with adjustable fit system and MIPS protection.,Sports & Outdoors,309.53,4.4
177,Building Blocks STEM Kit 500pc Lite,Creative construction set encouraging engineering skills for kids ages 6+.,Toys & Games,43.96,3.2
178,Ceramic Nonstick Frying Pan Plus - White,Induction-compatible skillet with PFOA-free coating for healthy cooking. Best seller in category.,Home & Kitchen,326.24,4.5
179,Argan Oil Hair Treatment Deluxe - White,Nourishing leave-in oil to repair dry damaged hair and reduce frizz. Eco-friendly packaging.,Beauty & Personal Care,17.49,4.9
180,Protein Powder Whey Isolate Classic - Navy,"Low-carb post-workout supplement with 25g protein per serving, vanilla flavor.",Health & Wellness,135.02,4.6
181,Retinol Night Cream Essential - Gray,Anti-aging night moisturizer to smooth fine lines and even skin tone.,Beauty & Personal Care,70.72,4.6
182,Hydrating Moisturizer SPF 30 Lite - Black,Daily facial lotion with broad spectrum sun protection and hyaluronic acid.,Beauty & Personal Care,35.02,4.3
183,Glass Food Storage Containers Ultra,"BPA-free meal prep containers with snap-lock lids, microwave safe. Best seller in category.",Home & Kitchen,270.4,4.3
184,Lip Balm SPF 15 Pack Plus,Moisturizing lip protection with vitamin E for daily outdoor use.,Beauty & Personal Care,37.5,4.1
185,Plush Teddy Bear Large Essential - Navy,Soft hypoallergenic stuffed animal gift for toddlers and collectors.,Toys & Games,20.88,4.4
186,Desk Organizer Bamboo - Navy,"Multi-compartment tray for pens, phones, and office supplies. Highly rated by customers.",Books & Stationery,42.51,3.7
187,HDMI Cable 6ft 4K Classic - White,High-speed HDMI 2.0 cable supporting 4K at 60Hz for monitors and projectors.,Electronics,353.85,4.9
188,Productivity Planner 2026 Pro - Red,"Undated daily planner with goal tracking, habit pages, and monthly reviews. Best seller in category.",Books & Stationery,27.57,3.8
189,Vitamin C Face Serum Classic,Brightening antioxidant serum to reduce dark spots and improve skin radiance. Highly rated by customers.,Beauty & Personal Care,71.2,4.6
190,Folding Camping Chair Lite - Navy,"Portable outdoor chair with cup holder, lightweight for beach and tailgating. Free shipping eligible.",Sports & Outdoors,162.64,4.9
191,Classic Novel Collection Box Set Plus,Timeless literature anthology with embossed hardcover bindings.,Books & Stationery,33.99,4.6
192,Noise Cancelling Earbuds Deluxe,True wireless earbuds with transparency mode and sweat resistance for workouts.,Electronics,119.74,5.0
193,Yoga Mat Non-Slip 6mm Ultra - Black,"Extra thick exercise mat with carrying strap for yoga, pilates, and floor workouts.",Sports & Outdoors,261.45,3.2
194,Men's Winter Puffer Jacket Ultra - Black,"Insulated warm jacket with water-resistant shell, perfect for cold weather trips and outdoor hiking.",Clothing,151.42,4.0
195,Protein Powder Whey Isolate Plus,"Low-carb post-workout supplement with 25g protein per serving, vanilla flavor. Best seller in category.",Health & Wellness,14.3,4.9
196,Adjustable Dumbbell Set - Navy,Space-saving adjustable weights from 5 to 52.5 lbs for home strength training. Eco-friendly packaging.,Sports & Outdoors,332.83,3.6
197,Stainless Steel Cookware Set 10-Piece Pro,Non-stick pots and pans with even heat distribution for everyday cooking.,Home & Kitchen,169.78,3.8
198,Blue Light Blocking Glasses Deluxe - Navy,Computer glasses reducing eye strain during long screen sessions. Best seller in category.,Health & Wellness,68.46,4.5
199,Sleeping Bag 3-Season Lite - Navy,Compact mummy bag rated to 20°F for backpacking and car camping.,Sports & Outdoors,316.11,3.5
200,Exfoliating Face Scrub Essential - Red,Gentle walnut scrub to remove dead skin cells and unclog pores.,Beauty & Personal Care,88.76,4.2
201,Productivity Planner 2026 Deluxe,"Undated daily planner with goal tracking, habit pages, and monthly reviews. Free shipping eligible.",Books & Stationery,17.07,4.4
202,Herbal Sleep Tea Blend Classic - White,Caffeine-free chamomile and valerian tea for relaxing bedtime routine. Highly rated by customers.,Health & Wellness,31.9,4.3
203,Herbal Sleep Tea Blend Essential,Caffeine-free chamomile and valerian tea for relaxing bedtime routine.,Health & Wellness,28.91,4.3
204,Adjustable Dumbbell Set Plus - Red,Space-saving adjustable weights from 5 to 52.5 lbs for home strength training. Limited time offer.,Sports & Outdoors,30.99,3.8
